Name,Banger?,Channel,Child Content,Child's Parent,Cold Idea,Content Pillar,Created,Created By,Divider,Editor,Focus Keywords,Grandchild,Grandparent,Graveyard,Gut Prediction,Idea,Keyword Content,Keyword Difficulty,Keyword Research,Keyword Volume,Last Updated,Late?,No.,Notes,Outstanding Amount,Paid,Paid Amount,Parent Content,Parent's Child,Pay Due Date,Pay Status,Performance Notes,Platforms,Priority,Proposed Channel,Publish Date,Pulled Notes,Pulled Resources,Quick Capture Box,Rel Seed Name,Rel. Seed,Rel. Seed Handoff,Review Date,Row Updated,Search Interest,Sponsor,Sponsor Pay Structure,Sponsor Performance,Sponsor Rate,Sponsor URL,Status,Submitter,Tags,Tasks,Topic Trend,Type,URL,Update Interval (Days),View Performance,Writer
Top 3 PowerToys Features I Use Every Day to Maximize My Productivity,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"July 23, 2022 7:38 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,Sascha,"microsoft powertoys (https://www.notion.so/microsoft-powertoys-e9f592ab8d9b4ed69225d57bdf9ca3fa?pvs=21), productivity,fancyzones,windows,top feature,microsoft powertoys,powertoys,windows 11,productivity tips,increase productivity,productivity hacks (https://www.notion.so/productivity-fancyzones-windows-top-feature-microsoft-powertoys-powertoys-windows-11-productivity-ti-ad75c9929288427eaa49d930ef396f5a?pvs=21)",,,No,Medium,No,"https://www.notion.so/7f4612b4680b48ceae81abb05a3cbe3f,https://www.notion.so/7f4612b4680b48ceae81abb05a3cbe3f",,,,,⌚️ On Time,4,,0,No,,,,"October 31, 2022",⛔️ Not Sponsored,,"Blog, LinkedIn, Twitter, YouTube",🚙 Short Term,,21/08/2022,,,No,Top 3 PowerToys Features I Use Every Day to Maximize My Productivity,Yes,,,"August 24, 2023 2:02 PM",Low,,,,,,✅ Completed,,Tools,"Define title (https://www.notion.so/Define-title-428581b3cbec44079422863ad6df310d?pvs=21), Create Thumbnail (https://www.notion.so/Create-Thumbnail-1b598a7a8aca45b0a1bc59e22bdc14c0?pvs=21), Write script (https://www.notion.so/Write-script-8f320087a3d744a4b52fbb273be2406b?pvs=21)",Medium,Video,https://youtu.be/-l9P0o2ch9M,,😐 Okay,Sascha
Speed Up Your Windows Installs: An Easy Guide for Noobs!,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"August 25, 2022 2:05 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,Sascha,"fast software batch installation package automated (https://www.notion.so/fast-software-batch-installation-package-automated-edf1f0fa1337462d91ab0960e6d984f3?pvs=21), windows package manager (https://www.notion.so/windows-package-manager-345f51153af745568947941981d25f5f?pvs=21), automatic software installation (https://www.notion.so/automatic-software-installation-aa08d53b98fd4c37b6950d05046af96d?pvs=21), winstall package manager (https://www.notion.so/winstall-package-manager-bcd9062f52554d3ca2810f8cf36cda5a?pvs=21), the easiest way to install many applications fast (https://www.notion.so/the-easiest-way-to-install-many-applications-fast-01a316c6bf7e472794178e772178f22d?pvs=21)",,,No,,No,"https://www.notion.so/111a5915515545b5ac3bab53d30be2d2,https://www.notion.so/111a5915515545b5ac3bab53d30be2d2,https://www.notion.so/111a5915515545b5ac3bab53d30be2d2,https://www.notion.so/111a5915515545b5ac3bab53d30be2d2,https://www.notion.so/111a5915515545b5ac3bab53d30be2d2","9.4,8.5,41,15,12",,"730,1600,745,1320,2200",,⌚️ On Time,5,,0,No,,,,"October 31, 2022",⛔️ Not Sponsored,,"Blog, Facebook, LinkedIn, Twitter, YouTube",,,30/08/2022,,,No,Speed Up Your Windows Installs: An Easy Guide for Noobs!,Yes,,,"August 24, 2023 1:55 PM",,,,,,,✅ Completed,,,"Write script (https://www.notion.so/Write-script-f8c7d0e107ef487aa75b38a87ec39a17?pvs=21), Review script (https://www.notion.so/Review-script-92c4ab8a71d7445283817151d9e1d23a?pvs=21), Film video (https://www.notion.so/Film-video-d95e5fa9004d4e5293e97f17307f64fb?pvs=21), Edit video (https://www.notion.so/Edit-video-ff21e2b5ccc448269e889123839aec55?pvs=21), Publish video (https://www.notion.so/Publish-video-eef5ffbe31fc4c7b922a303ea4a88c64?pvs=21), Define title (https://www.notion.so/Define-title-5ba38ef45bbc4efd86cbf015cb7a16d1?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-cb4479e56b5641238221f9661dcea9dd?pvs=21), Share on social media (Twitter, Substack, Pinterest, Web site, LinkedIn) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Web-site-LinkedIn-0507e1924972480c822aa533d7ea73e0?pvs=21)",,Video,https://youtu.be/allWk6TP5yE,,,Sascha
"How To Make Fast, Easy Decisions Using Multi-Criteria Analysis",🍋,"SDK Blog (https://www.notion.so/SDK-Blog-5ad06f2c31ee4dd89ea378154c217055?pvs=21), #LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21)",,,No,,"September 5, 2022 4:07 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,"Untitled (https://www.notion.so/0948922301bc4c99bd07d24b711e17e4?pvs=21), multi criteria decision making,multi criteria decision analysis,mcdm,mcda,decision making,multi attribute decision making,multi-criteria decision analysis (https://www.notion.so/multi-criteria-decision-making-multi-criteria-decision-analysis-mcdm-mcda-decision-making-multi-attr-07e1e72566bd44488098f3b9f6dd2d53?pvs=21)",,,No,,No,https://www.notion.so/ba78e5ebc6ef49fba5c97b744fdfbbe5,,,,,⌚️ On Time,6,,0,No,,,,"November 30, 2022",⛔️ Not Sponsored,,"Blog, LinkedIn, Twitter, YouTube",,,07/09/2022,,,No,"How To Make Fast, Easy Decisions Using Multi-Criteria Analysis",Yes,,,"August 24, 2023 1:51 PM",,,,,,,✅ Completed,,,"Define title (https://www.notion.so/Define-title-3a22692fa40e470c836aca1d34e7484e?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-6dbe99d4773e43d4baf900fc9f59bb38?pvs=21), Write script (https://www.notion.so/Write-script-f75d469f64364d58a0d6a4084bc12600?pvs=21), Review script (https://www.notion.so/Review-script-9529ab8b15334446b7d19dabc2709d27?pvs=21), Film video (https://www.notion.so/Film-video-e22ad07041f3421f837432520c693592?pvs=21), Edit video (https://www.notion.so/Edit-video-54c2e69d403d448fa7b56ac3fd7b13a2?pvs=21), Share on social media (Twitter, Substack, Pinterest, Web site, LinkedIn) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Web-site-LinkedIn-9c394478e15d49dda3e7f87317c4c33d?pvs=21)",,"Blog,Video",https://youtu.be/ByIFPzjeqns,,,
3 NEW Awesome Features in Microsoft PowerToys You Must Know About,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"September 13, 2022 11:35 AM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,"powertoys windows 11 (https://www.notion.so/powertoys-windows-11-65eb68259eca40799c79960812d35553?pvs=21), microsoft powertoys (https://www.notion.so/microsoft-powertoys-ac9655e2e41d4f4f94755f655f83db3d?pvs=21), power toys microsoft (https://www.notion.so/power-toys-microsoft-c57d522fff6b46fdb179563b37cad439?pvs=21)",,,No,,No,"https://www.notion.so/4006b09fdef640198c4ec7c13ce8cf76,https://www.notion.so/4006b09fdef640198c4ec7c13ce8cf76,https://www.notion.so/4006b09fdef640198c4ec7c13ce8cf76","13.93,21.35,16.36",,"3100,12029,2726",,⌚️ On Time,7,,0,No,,,,"November 30, 2022",⛔️ Not Sponsored,,"Facebook, Instagram, LinkedIn, Twitter, YouTube",,,13/09/2022,,,No,3 NEW Awesome Features in Microsoft PowerToys You Must Know About,Yes,,,"August 24, 2023 12:58 PM",,,,,,,✅ Completed,,,"Untitled (https://www.notion.so/fe4bc3e47b284c38b6266ae5d23a71f4?pvs=21), Define title (https://www.notion.so/Define-title-9bc2c59addaa4c1a90589c9efbf0aa6d?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-77f4ee8405fd44b1ad080e90185dc85b?pvs=21), Write script (https://www.notion.so/Write-script-ca039040dc05431f8a6fef446fa82ecf?pvs=21), Review script (https://www.notion.so/Review-script-eec7e5cf3e92438ea7a7f2f9f33e3335?pvs=21), Film video (https://www.notion.so/Film-video-a2b94eab5a2b4f79b93e5a9873cb04d8?pvs=21), Edit video (https://www.notion.so/Edit-video-1f41b1f80c29487591543fa941b98a49?pvs=21), Publish video (https://www.notion.so/Publish-video-b7b46c0ee8ef4470a954b3100380aae5?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-f3a2202048e048ec8469857b611afc6e?pvs=21)",,Video,https://youtu.be/DtaQrZ8tNW8,,,
One Tool to Rule Them All? - How To Write ANY Meeting Notes BETTER!,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"August 7, 2023 3:49 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,,,,No,,No,,,,,,⌚️ On Time,20,,0,No,,,,"October 31, 2023",⛔️ Not Sponsored,,"Facebook, Instagram, LinkedIn, Twitter, YouTube",,,22/08/2023,,,No,One Tool to Rule Them All? - How To Write ANY Meeting Notes BETTER!,Yes,,,"August 24, 2023 12:36 PM",,,,,,,✅ Completed,,,"Define title (https://www.notion.so/Define-title-3f6ab1ca2e6340d188bc84325b680761?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-b298822947074b009cdf5f647dbfdc3e?pvs=21), Write script (https://www.notion.so/Write-script-b988035314e54693b2446d72e4d84f71?pvs=21), Review script (https://www.notion.so/Review-script-4752c28c302b47f9ac4f803c981c1e26?pvs=21), Film video (https://www.notion.so/Film-video-67693a8ca6d2417fb60b8813472d3bef?pvs=21), Edit video (https://www.notion.so/Edit-video-78bfc1bc1cbd4ee8a555c034ac145375?pvs=21), Publish video (https://www.notion.so/Publish-video-3d160c798a3c40f08e1d12a52f8ab8eb?pvs=21), Generate and add subtitles (https://www.notion.so/Generate-and-add-subtitles-619a73997ffa44f78e50c3a47625287a?pvs=21), Write Blog Post (https://www.notion.so/Write-Blog-Post-40499855376245468a1b6c2ee3b3c028?pvs=21), Create Infographic (https://www.notion.so/Create-Infographic-66de3ef3db1f4f1c83711b40341d760b?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-7ea65f55bf4e48d4bf9f514fa10d652e?pvs=21)",,Video,https://youtu.be/1EDAesUvFmQ,,,
Unlock Better Meetings: Discover the TOP 4 Note-Taking Methods,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"June 14, 2023 4:24 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,Note-taking keywords (https://www.notion.so/Note-taking-keywords-51d7e6dec92c4376931f7e2155b23a7c?pvs=21),,,No,,No,https://www.notion.so/c8e5023b47f747baa8d95fcc6c12461b,,,,,⌚️ On Time,19,Research Note-taking (https://www.notion.so/Research-Note-taking-3ce66b328efa4da99b12ea459b6ff61a?pvs=21),0,No,,,,"October 31, 2023",⛔️ Not Sponsored,,YouTube,,,07/08/2023,,,No,Unlock Better Meetings: Discover the TOP 4 Note-Taking Methods,Yes,,,"August 24, 2023 12:36 PM",,,,,,,✅ Completed,,Productivity,"Define title (https://www.notion.so/Define-title-ff787107011b4edf949b203bf412ec1d?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-b44f7bcace6243e48a58b481ccf3a0f8?pvs=21), Write script (https://www.notion.so/Write-script-59073e52bec04bf19b3073138e48b433?pvs=21), Review script (https://www.notion.so/Review-script-3b89ea7ee0484cc693de303a3e887412?pvs=21), Film video (https://www.notion.so/Film-video-f255b605a76140d09775f01aa8d6f394?pvs=21), Edit video (https://www.notion.so/Edit-video-af4dcd7acb454e41b964239126177b48?pvs=21), Publish video (https://www.notion.so/Publish-video-1181e3fdbb6a47b2b1002f02cdec3be7?pvs=21), Generate and add subtitles (https://www.notion.so/Generate-and-add-subtitles-7b0aa8ecc11a43dea3ad2f34accd11d3?pvs=21), Write Blog Post (https://www.notion.so/Write-Blog-Post-567819d429654be1b3f55184104c68b7?pvs=21), Create Infographic (https://www.notion.so/Create-Infographic-a6e80361867a472e93e16f1059d8db10?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-38e3c61ab5f3492dae96b8fb9116802f?pvs=21)",,Video,https://youtu.be/wLt7QXXncm8,,,
14 POWERFUL techniques to make your meetings HIGHLY PRODUCTIVE,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"April 29, 2023 1:28 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,Meeting Productivity Tags (https://www.notion.so/Meeting-Productivity-Tags-cfc218d883f5480ab2097986a86d10cc?pvs=21),,,No,,No,https://www.notion.so/e5b59db233764281a9534586ade5a563,,,,,⌚️ On Time,18,"Research Meeting Productivity (https://www.notion.so/Research-Meeting-Productivity-fe47692372654445a2bc9437cd84fbc7?pvs=21), 13 Meeting Productivity Phallacies (https://www.notion.so/13-Meeting-Productivity-Phallacies-3bb99345fb0b4ca4b0a65a684abcfce1?pvs=21)",0,No,,,,"August 31, 2023",⛔️ Not Sponsored,,"Blog, LinkedIn, YouTube",,,28/06/2023,,,No,14 POWERFUL techniques to make your meetings HIGHLY PRODUCTIVE,Yes,,,"August 24, 2023 12:36 PM",,,,,,,✅ Completed,,Productivity,"Define title (https://www.notion.so/Define-title-7bc24de57b1d43d0bac09d27e1c9e74a?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-eeb5ef110bf44904ba70b920c0ae6390?pvs=21), Write script (https://www.notion.so/Write-script-9067603186634c6c84fe39be16288dfb?pvs=21), Review script (https://www.notion.so/Review-script-67574528f0fc44cda84473d4f47ae6b8?pvs=21), Film video (https://www.notion.so/Film-video-efd18477e0fa40c1b79bd7e70e06288d?pvs=21), Edit video (https://www.notion.so/Edit-video-097b494399cb4dc1a684c221f3eaed36?pvs=21), Publish video (https://www.notion.so/Publish-video-f4c5af071d5343a18515fbe7cd31efca?pvs=21), Generate and add subtitles (https://www.notion.so/Generate-and-add-subtitles-239cf395218a4d9c82e34b5b8cfb08ce?pvs=21), Write Blog Post (https://www.notion.so/Write-Blog-Post-b221c6553f024dff9a8d44bf365e8eda?pvs=21), Create Infographic (https://www.notion.so/Create-Infographic-1834c95e8c7643cebf172d659e77edbb?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-fbfb37b4e9e049ffaafcaf139a57cc5f?pvs=21)",,Video,https://youtu.be/QsHeAxQ75-Q,,,
Procrastination Busters: TOP 5 Strategies to GET THINGS DONE,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"April 27, 2023 10:53 AM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,"How to beat procrastination, defeating procrastination, productivity tips, overcoming procrastination, time management, productivity hacks, motivation, goal achievement, beating procrastination, getting things done, success mindset, personal development, self-improvement, productivity strategies, time management techniques, goal setting, overcoming laziness, improving focus, prioritizing tasks, time blocking, task management, achieving success, boosting productivity, increasing efficiency, time-saving techniques, beating procrastination habits, success habits, overcoming self-sabotage, self-discipline, time utilization (https://www.notion.so/How-to-beat-procrastination-defeating-procrastination-productivity-tips-overcoming-procrastinatio-ae70675f56f54526a88b40324ecca102?pvs=21), #ProcrastinationBusters #BeatProcrastination #ProductivityTips #GetThingsDone #OvercomingProcrastination #GoalAchievement #ProductivityHacks #TimeManagement #Motivation #Success (https://www.notion.so/ProcrastinationBusters-BeatProcrastination-ProductivityTips-GetThingsDone-OvercomingProcrastinat-38a0dc745c2c4f2f9708e15abd4f6495?pvs=21)",,,No,,No,"https://www.notion.so/a8e9af3ec8584db39b0efeaeb3932607,https://www.notion.so/a8e9af3ec8584db39b0efeaeb3932607",,,,,⌚️ On Time,17,"Procrastination notes (https://www.notion.so/Procrastination-notes-2020d0d8f9ba4b5cb5f69b26f4203667?pvs=21), Untitled (https://www.notion.so/5e4b550839284a3fa359cfb84eb7b469?pvs=21)",0,No,,,,"August 31, 2023",⛔️ Not Sponsored,,"Facebook, Instagram, LinkedIn, Twitter, YouTube",,,12/06/2023,,,No,Procrastination Busters: TOP 5 Strategies to GET THINGS DONE,Yes,,,"August 24, 2023 12:36 PM",,,,,,,✅ Completed,,Productivity,"Define title (https://www.notion.so/Define-title-f1a06a09c46e4c8d850a592371550aeb?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-e7a6445543504800901379dae40bd61e?pvs=21), Write script (https://www.notion.so/Write-script-9382ec9d33e34544ac0ee6623c525629?pvs=21), Review script (https://www.notion.so/Review-script-eeeb7c188b08413abcf1101521d8abf6?pvs=21), Film video (https://www.notion.so/Film-video-65e6b0310d724056a36327df193d2615?pvs=21), Edit video (https://www.notion.so/Edit-video-3f63f0c8a5ef4f3eb4c90561e8d843af?pvs=21), Publish video (https://www.notion.so/Publish-video-cf4c8b9b37bb4e1c905c99c36b97f805?pvs=21), Generate and add subtitles (https://www.notion.so/Generate-and-add-subtitles-769cbf500e204dc1b233525a515b6c1c?pvs=21), Write Blog Post (https://www.notion.so/Write-Blog-Post-91394126553a42e88124ac6f1ca617c6?pvs=21), Create Infographic (https://www.notion.so/Create-Infographic-8255c3a9adf14809bcf03d91884c5f28?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-1fea9f265d83406ea606dd61e3d24a14?pvs=21)",,Video,https://youtu.be/SpEZNd-l8kY,,,
STOP believing these 8 stubborn MYTHS that destroy YOUR PRODUCTIVITY!,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"April 19, 2023 8:49 AM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,"ProductivityMyths, ProductivityTips, ProductivityHacks, MythBusting, ProductivityMisconceptions, WorkSmarterNotHarder, TimeManagement, ProductivityMindset, EfficiencyHacks, ProductivityStrategies, MaximizeProductivity, ProductivityGoals, ProducitvityMistakes, ProductivityBoost, ProductivityMythBusters (https://www.notion.so/ProductivityMyths-ProductivityTips-ProductivityHacks-MythBusting-ProductivityMisconceptions-Wor-da1825392098493ba3e893dbcb4b1736?pvs=21), ProductivityMyths,ProductivityHacks,WorkSmart,TimeManagementTips,EfficiencyHacks,ProductivityMistakes,ProductivityStrategies,BoostProductivity,ProducitvityTips,TimeSavingTips,IncreaseProductivity,ProductivitySkills,ProductivityGoals,WorkLifeBalance,ProductivityTechniques,TimeManagementSkills,ProductivityChallenges,ProductivityImprovement,ProductivityRoutines,ProductivityTools,ProductivityPrinciples,ProductivityMythsDebunked,ProductivityMindset,ProductivityStruggles,ProactiveProductivity,ProductivityHacksThatWork,OvercomingProductivityMyths,ProductivityTipsAndTricks,ProductivityBestPractices,ProductivityMythsBusted (https://www.notion.so/ProductivityMyths-ProductivityHacks-WorkSmart-TimeManagementTips-EfficiencyHacks-ProductivityMistake-661c5f85f99545388dc675aea3b0315e?pvs=21), stop believing, myths, productivity, destroy, LSI keyword, productivity myths, stop believing myths, productivity tips, productivity hacks, debunking myths, time management, work-life balance, productivity techniques, productivity strategies, time-saving hacks, productivity mindset, debunking productivity myths, productivity misconceptions, time management myths, work-life balance myths, productivity tips and tricks, productivity hacks for success, debunking time management myths, productivity mindset myths, time-saving hacks for productivity, work-life balance misconceptions, productivity strategies for success, debunking productivity misconceptions, time management tips, work-life balance strategies, productivity myths debunked, time management misconceptions. (https://www.notion.so/stop-believing-myths-productivity-destroy-LSI-keyword-productivity-myths-stop-believing-myths--4264519f04e04a0fbf294bfbefa1569a?pvs=21)",,,No,,No,"https://www.notion.so/ab0c8fba4e744fe4bd3913b590e7de18,https://www.notion.so/ab0c8fba4e744fe4bd3913b590e7de18,https://www.notion.so/ab0c8fba4e744fe4bd3913b590e7de18",,,,,⌚️ On Time,16,"Untitled (https://www.notion.so/5a800eb9c0a14f3987d6e15e260a9007?pvs=21), Productivity Myths (https://www.notion.so/Productivity-Myths-55d0d95adb534ab59db0e0417102e45a?pvs=21), Productivity Myths to be busted (https://www.notion.so/Productivity-Myths-to-be-busted-8daa9c7d282645b49e72aa8e50c85485?pvs=21)",0,No,,,,"July 31, 2023",⛔️ Not Sponsored,,"LinkedIn, Twitter, YouTube",,,22/05/2023,,,No,STOP believing these 8 stubborn MYTHS that destroy YOUR PRODUCTIVITY!,Yes,,,"August 24, 2023 12:36 PM",,,,,,,✅ Completed,,Productivity,"Define title (https://www.notion.so/Define-title-fef73ecc844a4f03807be9d4d498d57a?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-07cb5a6011bb47028a404946fd708121?pvs=21), Write script (https://www.notion.so/Write-script-ff13691a457041ca9fefcca49e1e51b1?pvs=21), Review script (https://www.notion.so/Review-script-8076c487c5ce47e5a0cb05ba036cbb33?pvs=21), Film video (https://www.notion.so/Film-video-9fc23ed5ef74493fa59ede4d8b968ad2?pvs=21), Edit video (https://www.notion.so/Edit-video-c5fe7dd3786c45f8b24795f12d68b35d?pvs=21), Publish video (https://www.notion.so/Publish-video-e63a3f16ea754f7fad0199c226bc216a?pvs=21), Generate and add subtitles (https://www.notion.so/Generate-and-add-subtitles-3b944916c1c5411ea36183dfcb3287df?pvs=21), Write Blog Post (https://www.notion.so/Write-Blog-Post-68362b9e38da4e34a2a749afe992659c?pvs=21), Create Infographic (https://www.notion.so/Create-Infographic-47077dcadad641a48037e3a0d864fc6c?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-9dc7e6603f7e47dab0a4d35eb85f85d7?pvs=21)",,Video,https://youtu.be/ge7DDN969w8,,,
10 Simple Excel Shortcuts to Actually Improve Your Workflow,🍋,#LeanProductivity (https://www.notion.so/LeanProductivity-8380e1295dd4439a8846b9a898501e5c?pvs=21),,,No,,"March 31, 2023 4:21 PM",Sascha,🛑🛑🛑🛑🛑 Everything Below This Line Just Runs the Template 🛑🛑🛑🛑🛑,,microsoft excel keyboard shortcuts (https://www.notion.so/microsoft-excel-keyboard-shortcuts-5faca189597d4cdcbc6c7cff96d5a5f3?pvs=21),,,No,,No,https://www.notion.so/5c6127b4c9e540e0be38439aaf006fce,,,,,⌚️ On Time,15,Content Hooks (https://www.notion.so/Content-Hooks-92cb0a4012de4d03b35849976b82f265?pvs=21),0,No,,,,"June 30, 2023",⛔️ Not Sponsored,,"Blog, Facebook, Instagram, LinkedIn, Pinterest, Twitter, YouTube",,,04/04/2023,,,No,10 Simple Excel Shortcuts to Actually Improve Your Workflow,Yes,,,"August 24, 2023 12:36 PM",,,,,,,✅ Completed,,,"Define title (https://www.notion.so/Define-title-be0cb79a05d34911b4a2f41568fe2218?pvs=21), Create thumbnail (https://www.notion.so/Create-thumbnail-a6695f4af3fe47f29f3082023e7f5eaf?pvs=21), Write script (https://www.notion.so/Write-script-8b86cccd53f34700a4f486f12972d9bf?pvs=21), Review script (https://www.notion.so/Review-script-037bb3ffb396405eb13a69633adf535e?pvs=21), Film video (https://www.notion.so/Film-video-c9656a4c59d44375818d39304508500f?pvs=21), Edit video (https://www.notion.so/Edit-video-afcbfa6e84bd411985d4135d5b1ed1a1?pvs=21), Publish video (https://www.notion.so/Publish-video-8ad01597844542babcdb487c5efb4a31?pvs=21), Share on social media (Twitter, Substack, Pinterest, Facebook, LinkedIn, Website) (https://www.notion.so/Share-on-social-media-Twitter-Substack-Pinterest-Facebook-LinkedIn-Website-4963bc4c6f934f9baa92f9a7fee6e99f?pvs=21)",,Video,https://youtu.be/ZsLqKyoXD3I,,,
