Date,Name,Tags
29/07/2022,"Trip to Berlin; car ride to Bucharest took 3.5 hours instead of 2.5; drove up to the entrance, jumped out with the luggage; Emilia went to park the car; no travelers at the check-in desk; just a woman having lunch; dropped the luggage; rushed through security; running to the gate to be just in time; I saw that the flight is delayed by 1.75 hours; tell Emilia that I have good news and bad news; good: we have plenty of time for food (everybody hungry after half a day in the car); she thinks we missed the flight; so I have only good news: time for food AND plane not missed but delayed.",
29/07/2022,Trip to Berlin; German passport control; Nina’s doll has no passport; Marc and she work out that he will traffic her into the country in his backbag.,
30/07/2022,Berlin; Kilkenny’s Irish Pub; first time in 11 years to have their Nachos with Vodka RedBull; probably 3000 calories; totally worth it.,
30/07/2022,Berlin; holocaust memorial; Marc gets lost; a Berlin 50+ hipster with John Lennon glasses finds him.,
30/07/2022,"Berlin; Marc all excited about going to the book store; end up buying three books for him, two for Nina.",
31/07/2022,"Berlin; took the kids to Legoland; stayed for three hours; they played a lot and Marc built Lego cars; later we went to the Spree riverbank to chill and drink; cocktails for the parents, rainbow ice cream for the kids.",
01/08/2022,"Berlin; first day of kids’ camp (English for Marc, German for Nina); both kids went nicely and liked it; Marc went bowling; picked up (yet another) dinosaur book for Marc (this time in German); he as very excited about it; at dinner we shared stories - and pictures - of our wild pre-parent days; the kids enjoyed it very much; reminded me of many crazy things, Emilia and I did back then; good times…",
02/08/2022,Berlin; first e-scooter ride with Marc,
15/08/2022,"Brasov; Emilia needs money for the gym; first ATM is out of cash, second is out of order, third and fourth are out of cash; finally the last one works. left early to avoid the incoming rain; due to all the failures, it caught me full force when i came home.",
08/04/2023,Oman; 2 germans looking for cheap food; walking from one restaurant to the other; eventually returning to the Indian one because the Pakistani is a rip-off.,
,"Oman; arrived after two flights over night; wanted to pick up the reserved rental car; none of my cards is accepted (4 Romanian, 1 Austrian, 2 German); tuned out, they are all debit cards - not credit cards; my one real credit card is in vienna; called Zauner to send me a picture of his CC; it was 6:30am for him; WhatsApp calls not possible due to Omani restrictions; called from Omani sim card; Zauner suspicious; sent front side; asked for a picture of us before sending the back; in the end, all fine.",
